# === Top 10 强势行业 (588 行业指数 vs 大盘) ===
industry_code,industry_name,ret,alpha_vs_idx
881289.SH,航天装备,0.7990520118179689,0.7756275662274583
881115.SH,林业,0.23253007522327507,0.20910562963276447
881291.SH,军工电子,0.22625698324022347,0.20283253764971287
881198.SH,家电零部件,0.2030089655628582,0.1795845199723476
881019.SH,化纤,0.16938954415046226,0.14596509855995166
881094.SH,玻璃玻纤,0.1505384236298246,0.127113978039314
881338.SH,通信设备,0.14172776844706525,0.11830332285655465
881261.SH,电机制造,0.14041589932473908,0.11699145373422848
881071.SH,工业金属,0.13301174203065513,0.10958729644014453
881078.SH,能源金属,0.11692979983084295,0.09350535424033235

# === Top 10 行业 全部成分股 (α vs 大盘) ===
industry_code,industry_name,industry_ret,stock,stock_ret,alpha_vs_idx,alpha_vs_industry
881291.SH,军工电子,0.22625698324022347,688375.SH,0.4269731800766283,0.4035487344861177,0.20071619683640485
881291.SH,军工电子,0.22625698324022347,688682.SH,0.416220556745182,0.3927961111546714,0.18996357350495852
881291.SH,军工电子,0.22625698324022347,688311.SH,0.4130771614502633,0.3896527158597527,0.18682017821003982
881338.SH,通信设备,0.14172776844706525,600498.SH,0.4119718309859155,0.3885473853954049,0.27024406253885025
881338.SH,通信设备,0.14172776844706525,601869.SH,0.40158997831847754,0.37816553272796694,0.2598622098714123
881338.SH,通信设备,0.14172776844706525,301205.SZ,0.3919544027754831,0.3685299571849725,0.25022663432841785
881338.SH,通信设备,0.14172776844706525,688143.SH,0.37561643835616443,0.3521919927656538,0.23388866990909918
881291.SH,军工电子,0.22625698324022347,300762.SZ,0.36655737704918034,0.34313293145866974,0.14030039380895687
881115.SH,林业,0.23253007522327507,000592.SZ,0.3664596273291927,0.3430351817386821,0.13392955210591762
881071.SH,工业金属,0.13301174203065513,300337.SZ,0.3593339176161261,0.3359094720256155,0.22632217558547096
881071.SH,工业金属,0.13301174203065513,600362.SH,0.35705460835186575,0.33363016276135515,0.22404286632121062
881078.SH,能源金属,0.11692979983084295,605376.SH,0.3440197287299631,0.3205952831394525,0.22708992889912016
881338.SH,通信设备,0.14172776844706525,688668.SH,0.3347685683530677,0.3113441227625571,0.19304079990600242
881019.SH,化纤,0.16938954415046226,300699.SZ,0.33265788584937517,0.30923344025886457,0.1632683416989129
881198.SH,家电零部件,0.2030089655628582,002050.SZ,0.3276524243879022,0.3042279787973916,0.12464345882504402
881094.SH,玻璃玻纤,0.1505384236298246,300395.SZ,0.32707065361206666,0.30364620802155606,0.17653222998224205
881338.SH,通信设备,0.14172776844706525,002383.SZ,0.3224789915966386,0.299054546006128,0.18075122314957337
881019.SH,化纤,0.16938954415046226,688295.SH,0.32032193158953715,0.29689748599902654,0.1509323874390749
881019.SH,化纤,0.16938954415046226,300777.SZ,0.3043478260869563,0.2809233804964457,0.13495828193649406
881291.SH,军工电子,0.22625698324022347,300045.SZ,0.3034265103697025,0.2800020647791919,0.077169527129479
881291.SH,军工电子,0.22625698324022347,688629.SH,0.30286458333333344,0.27944013774282284,0.07660760009310996
881291.SH,军工电子,0.22625698324022347,002465.SZ,0.3027295285359801,0.2793050829454695,0.07647254529575664
881291.SH,军工电子,0.22625698324022347,688002.SH,0.3023255813953487,0.2789011358048381,0.07606859815512523
881289.SH,航天装备,0.7990520118179689,003009.SZ,0.2962535071794026,0.272829061588892,-0.5027985046385663
881338.SH,通信设备,0.14172776844706525,688175.SH,0.29357429718875516,0.27014985159824456,0.1518465287416899
881338.SH,通信设备,0.14172776844706525,600345.SH,0.28608534322820023,0.2626608976376896,0.14435757478113498
881291.SH,军工电子,0.22625698324022347,300101.SZ,0.28005402971634386,0.25662958412583325,0.05379704647612038
881198.SH,家电零部件,0.2030089655628582,603311.SH,0.27973199329983256,0.25630754770932196,0.07672302773697437
881291.SH,军工电子,0.22625698324022347,300629.SZ,0.27575107296137347,0.25232662737086287,0.04949408972114999
881019.SH,化纤,0.16938954415046226,000703.SZ,0.27455621301775146,0.25113176742724086,0.1051666688672892
881261.SH,电机制造,0.14041589932473908,920100.BJ,0.2724131974434272,0.24898875185291658,0.1319972981186881
881261.SH,电机制造,0.14041589932473908,002196.SZ,0.2645418326693225,0.24111738707881192,0.12412593334458344
